athlete,category,C1,K1,X1
STEPANKOVA Marketa,Junior Women,1,-,-
KRECH Neele,Junior Women,2,-,26
BLYTHE-SHIELDS Zoe,Junior Women,3,47,-
OETTING Carden,Junior Women,4,9,18
MUELLER Maxi,Junior Women,5,-,-
ONDRACKOVA Barbora,Junior Women,6,2,-
GOIKOETXEA Ainara,Junior Women,7,35,3
VUILLEUMIER Eyleen,Junior Women,8,18,14
SIMONA Anna,Junior Women,9,23,7
SEGURA Ainhoa,Junior Women,10,48,-
REX Rosie,Junior Women,11,40,8
KOCIROVA Valentyna,Junior Women,12,-,-
SENICA Lea,Junior Women,13,29,29
IWANIEC Patrycja,Junior Women,14,-,38
ZAHORSKA Zara,Junior Women,15,20,31
BOOCOCK Freja,Junior Women,16,25,30
KIRKOWSKA Julia,Junior Women,17,-,-
CRINO Lucy,Junior Women,18,22,-
LAPEZE Margot,Junior Women,19,10,5
ALTMAN Isabella,Junior Women,20,13,15
LALY Laurette,Junior Women,21,-,52
CUIGNON Vittoria,Junior Women,22,-,-
DANEK Hanna,Junior Women,23,1,17
DAVIDSON Codie,Junior Women,24,30,20
MOINIAN Florance,Junior Women,25,-,-
MCMULLINS Darcey,Junior Women,26,-,23
UFFER Leni,Junior Women,27,34,-
DANISOVA Hana,Junior Women,28,38,-
RIABIKOVA Elizaveta,Junior Women,29,37,10
WILDE Jasmine,Junior Women,30,-,-
NITTA Misora,Junior Women,31,-,-
RELLIA Georgia,Junior Women,32,-,-
CASTIGLIONE Nerea,Junior Women,33,11,12
MACKIE Ada,Junior Women,34,36,39
PERELEGRE Ona,Junior Women,35,52,34
SOSKOVA Petra,Junior Women,36,-,-
MAULETKAN Alua,Junior Women,37,58,36
LOVATO Isabel,Junior Women,38,12,50
TANAKA Hanon,Junior Women,39,-,33
ZIMMERMAN Paige,Junior Women,40,50,32
PICHARD Honorine,Junior Women,41,-,49
SURMA Vladyslava,Junior Women,42,44,-
BIELIETIEIEVA Anna,Junior Women,43,45,-
ZIZMARE Marta,Junior Women,44,55,-
KULIKOVA Anna,Junior Women,45,-,-
TARE Eliza,Junior Women,46,51,45
BLUME Mina,Junior Women,-,3,1
MUELLER Nova,Junior Women,-,4,-
YAN Di,Junior Women,-,5,35
ALFER Sofia,Junior Women,-,6,-
MANIET Lilou,Junior Women,-,7,16
ABRAHAMOVA Karolina,Junior Women,-,8,28
KONTCHAKOV Arina,Junior Women,-,14,25
FABIANOVA Anna,Junior Women,-,15,6
PIPREK Zuzanna,Junior Women,-,16,-
HOJDOVA Marketa,Junior Women,-,17,-
CADUFF Gianna,Junior Women,-,19,21
LOCATELLI Judith,Junior Women,-,20,-
SENONER Annika Zoe,Junior Women,-,24,-
JUNG Britta,Junior Women,-,26,2
KHARLAMOVA Anhelina,Junior Women,-,27,42
YOSHIKAWA Satsuki,Junior Women,-,28,-
VAN VLIET Veerle,Junior Women,-,31,51
FURLAN Sara,Junior Women,-,32,-
ONOZAWA Mine,Junior Women,-,33,19
PATEMAN Tess,Junior Women,-,39,22
KURVINA Elizabete,Junior Women,-,41,37
