Season,Competition,Category,Athlete,C1,K1,X1,,,
2025,World Championships,Junior Women,STEPANKOVA Marketa,1,-,-,,,
2025,World Championships,Junior Women,KRECH Neele,2,-,26,,,
2025,World Championships,Junior Women,BLYTHE-SHIELDS Zoe,3,47,-,,,
2025,World Championships,Junior Women,OETTING Carden,4,9,18,,,
2025,World Championships,Junior Women,MUELLER Maxi,5,-,-,,,
2025,World Championships,Junior Women,ONDRACKOVA Barbora,6,2,-,,,
2025,World Championships,Junior Women,GOIKOETXEA Ainara,7,35,3,,,
2025,World Championships,Junior Women,VUILLEUMIER Eyleen,8,18,14,,,
2025,World Championships,Junior Women,SIMONA Anna,9,23,7,,,
2025,World Championships,Junior Women,SEGURA Ainhoa,10,48,-,,,
2025,World Championships,Junior Women,REX Rosie,11,40,8,,,
2025,World Championships,Junior Women,KOCIROVA Valentyna,12,-,-,,,
2025,World Championships,Junior Women,SENICA Lea,13,29,29,,,
2025,World Championships,Junior Women,IWANIEC Patrycja,14,-,38,,,
2025,World Championships,Junior Women,ZAHORSKA Zara,15,20,31,,,
2025,World Championships,Junior Women,BOOCOCK Freja,16,25,30,,,
2025,World Championships,Junior Women,KIRKOWSKA Julia,17,-,-,,,
2025,World Championships,Junior Women,CRINO Lucy,18,22,-,,,
2025,World Championships,Junior Women,LAPEZE Margot,19,10,5,,,
2025,World Championships,Junior Women,ALTMAN Isabella,20,13,15,,,
2025,World Championships,Junior Women,LALY Laurette,21,-,52,,,
2025,World Championships,Junior Women,CUIGNON Vittoria,22,-,-,,,
2025,World Championships,Junior Women,DANEK Hanna,23,1,17,,,
2025,World Championships,Junior Women,DAVIDSON Codie,24,30,20,,,
2025,World Championships,Junior Women,MOINIAN Florance,25,-,-,,,
2025,World Championships,Junior Women,MCMULLINS Darcey,26,-,23,,,
2025,World Championships,Junior Women,UFFER Leni,27,34,-,,,
2025,World Championships,Junior Women,DANISOVA Hana,28,38,-,,,
2025,World Championships,Junior Women,RIABIKOVA Elizaveta,29,37,10,,,
2025,World Championships,Junior Women,WILDE Jasmine,30,-,-,,,
2025,World Championships,Junior Women,NITTA Misora,31,-,-,,,
2025,World Championships,Junior Women,RELLIA Georgia,32,-,-,,,
2025,World Championships,Junior Women,CASTIGLIONE Nerea,33,11,12,,,
2025,World Championships,Junior Women,MACKIE Ada,34,36,39,,,
2025,World Championships,Junior Women,PERELEGRE Ona,35,52,34,,,
2025,World Championships,Junior Women,SOSKOVA Petra,36,-,-,,,
2025,World Championships,Junior Women,MAULETKAN Alua,37,58,36,,,
2025,World Championships,Junior Women,LOVATO Isabel,38,12,50,,,
2025,World Championships,Junior Women,TANAKA Hanon,39,-,33,,,
2025,World Championships,Junior Women,ZIMMERMAN Paige,40,50,32,,,
2025,World Championships,Junior Women,PICHARD Honorine,41,-,49,,,
2025,World Championships,Junior Women,SURMA Vladyslava,42,44,-,,,
2025,World Championships,Junior Women,BIELIETIEIEVA Anna,43,45,-,,,
2025,World Championships,Junior Women,ZIZMARE Marta,44,55,-,,,
2025,World Championships,Junior Women,KULIKOVA Anna,45,-,-,,,
2025,World Championships,Junior Women,TARE Eliza,46,51,45,,,
2025,World Championships,Junior Women,BLUME Mina,-,3,1,,,
2025,World Championships,Junior Women,MUELLER Nova,-,4,-,,,
2025,World Championships,Junior Women,YAN Di,-,5,35,,,
2025,World Championships,Junior Women,ALFER Sofia,-,6,-,,,
2025,World Championships,Junior Women,MANIET Lilou,-,7,16,,,
2025,World Championships,Junior Women,ABRAHAMOVA Karolina,-,8,28,,,
2025,World Championships,Junior Women,KONTCHAKOV Arina,-,14,25,,,
2025,World Championships,Junior Women,FABIANOVA Anna,-,15,6,,,
2025,World Championships,Junior Women,PIPREK Zuzanna,-,16,-,,,
2025,World Championships,Junior Women,HOJDOVA Marketa,-,17,-,,,
2025,World Championships,Junior Women,CADUFF Gianna,-,19,21,,,
2025,World Championships,Junior Women,LOCATELLI Judith,-,20,-,,,
2025,World Championships,Junior Women,SENONER Annika Zoe,-,24,-,,,
2025,World Championships,Junior Women,JUNG Britta,-,26,2,,,
2025,World Championships,Junior Women,KHARLAMOVA Anhelina,-,27,42,,,
2025,World Championships,Junior Women,YOSHIKAWA Satsuki,-,28,-,,,
